WY,PrecipMM
1967,38.9
1968,33.8
1969,51.1
1970,41.7
1971,24.4
1972,21.3
1973,27.2
1974,25.9
1975,36.6
1976,43.4
1977,37.8
1978,53.8
1979,65.3
1980,48.8
1981,41.7
1982,51.6
1983,37.8
1984,15.7
1985,39.9
1986,51.8
1987,27.4
1988,36.1
1989,20.8
1990,25.7
1991,33.3
1992,49.5
1993,45.7
1994,25.4
1995,56.9
1996,25.4
1997,28.2
1998,38.6
1999,19.6
2000,40.4
2001,26.9
2002,9.1
2003,37.6
2004,29.5
2005,68.6
2006,19.6
2007,18.8
2008,23.6
2009,40.6
2010,39.6
2011,51.1
2012,35.6
2013,39.6
2014,25.7
2015,46.7
2016,41.9
2017,59.4
2018,39.878
2019,45.7
